x y
1397.9283344457886 292.75703434676666
486.06317676652577 1093.9016052417307
997.58871546569 592.9490959622402
687.8424545608467 1004.9384082804544
1305.1508519863228 895.1791980229173
1517.9397019192004 798.2927669184937
1295.0812486183615 890.0092827968372
1005.7362570101894 599.6814733829611
494.8323800302235 1105.3838203656276
521.1917987925459 1096.6993436959863
699.0776397078648 1007.5207829760606
1401.9835516368198 312.5246912950855
1298.6760960390336 905.3372586289047
1412.0880402087269 293.8058380890738
682.6427125805217 1009.2041004263202
1499.1821716253069 792.647990876035
689.333617181108 993.119638622282
1411.9685674114269 293.9285198986528
495.9542642085958 1105.7067652181836
1302.2294515791323 898.1176890612331
1489.8243410557195 790.8174113536807
1502.06725306399 795.5828375338017
1396.6032356838143 288.104051540972
1314.4199281990675 904.5184710906872
1403.4462591110457 299.3040307253534
1488.4384295969253 799.7188594355821
999.6166257770956 582.2428488544587
1506.0612146079845 792.6837181667642
491.9175819982514 1099.65013956538
1514.1888929708725 798.7510123410462
1406.6942645659929 290.78254340707235
1309.2654984387782 904.075326043998
723.4477076278613 1003.0008238400503
696.0447324084176 989.494211164955
999.6145450286928 621.1250328377993
701.7343904415826 987.7041632101754
700.9488019337084 987.4066762312899
1422.2965148116775 283.01348986250025
514.7633151769705 1108.4909950279562
702.3868463430974 989.1463647969448
1003.3329949037916 589.4743778038927
1311.0916513744019 897.14949947597
1406.4407836342145 288.8216680871973
505.00369216818706 1101.2279588987444
1312.2964623555165 906.3070385914694
983.3815841677347 624.5611351213947
711.6273997647324 998.0103346883617
1294.928584367011 884.9981797171494
985.1212125226622 592.0447944991794
1489.5530893344012 798.41928420949
509.5659526142804 1097.6995329727258
992.3951843157984 614.1611075448222
491.65421943074125 1101.9053926608765
1001.7856178726583 576.8594868308631
993.5319529655328 592.6958096166846
1489.7661283016123 804.8045075566489
1500.1669379501461 789.7051596211251
1294.879936287266 884.669165945907
1395.6569948891272 297.8823096341151
499.89975123648713 1099.6262306207627
